#id: 3
#name: S.cerevisiae - Whole organism (Integrated)
#score: 23.39
#weight: 
#description: integrated dataset: weighted average of all S.cerevisiae WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 23.39&nbsp<b>Coverage</b>: 96
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 96
#publication_year: 2015
#filename: 4932-WHOLE_ORGANISM-integrated.txt
#
internal_id	string_external_id	abundance
632621	4932.YKL159C	6.17
629888	4932.YDR059C	37.3
629153	4932.YBR101C	212
633302	4932.YLR396C	15.1
629316	4932.YBR245C	106
632270	4932.YJL216C	1.38
629277	4932.YBR210W	1.76
635045	4932.YPL103C	5.73
631919	4932.YIL103W	31.2
631972	4932.YIL152W	1.29
630194	4932.YDR341C	358
632379	4932.YJR096W	132
628804	4932.YAL010C	9.91
631312	4932.YGR143W	7.69
631279	4932.YGR112W	29.9
633148	4932.YLR256W	3.04
631742	4932.YHR174W	11806
634529	4932.YOR012W	1.24
631615	4932.YHR062C	75.4
629786	4932.YDL213C	118
630167	4932.YDR317W	1.49
630341	4932.YDR478W	4.41
632555	4932.YKL097C	1.58
634009	4932.YNL106C	25.4
634920	4932.YOR378W	1.4
630837	4932.YFR015C	84.1
633787	4932.YMR230W	339
631906	4932.YIL092W	2.88
628885	4932.YAR009C	26.2
633222	4932.YLR321C	63.7
631216	4932.YGR052W	5.2
632448	4932.YJR161C	8.97
634810	4932.YOR278W	17.3
633985	4932.YNL085W	67.6
630950	4932.YGL061C	32.8
635157	4932.YPL210C	216
634610	4932.YOR087W	30.2
631128	4932.YGL234W	553
634888	4932.YOR347C	57.7
635332	4932.YPR093C	1.59
628827	4932.YAL029C	52.1
634499	4932.YOL155C	2.55
630283	4932.YDR421W	4.87
631363	4932.YGR186W	32.0
630142	4932.YDR294C	148
631699	4932.YHR135C	46.1
629840	4932.YDR015C	1.2
629242	4932.YBR181C	1040
634601	4932.YOR078W	27.3
634775	4932.YOR243C	91.6
633715	4932.YMR165C	43.8
629452	4932.YCR005C	58.4
631478	4932.YGR296W	1.2
635294	4932.YPR055W	13.1
631822	4932.YIL016W	61.9
632900	4932.YLR032W	15.3
629946	4932.YDR114C	1.35
632828	4932.YLL030C	1.22
629757	4932.YDL185C-A	1.55
632863	4932.YLL065W	1.2
635285	4932.YPR046W	6.51
629152	4932.YBR099C	1.6
628945	4932.YBL027W	2499
634399	4932.YOL060C	62.4
628952	4932.YBL033C	118
634140	4932.YNL232W	183
629640	4932.YDL076C	34.2
634757	4932.YOR225W	1.23
629954	4932.YDR120C	247
633378	4932.YLR465C	1.11
632245	4932.YJL192C	129
632923	4932.YLR054C	1.52
632877	4932.YLR009W	1.87
629892	4932.YDR063W	52.8
629276	4932.YBR209W	1.05
634824	4932.YOR292C	2.19
630557	4932.YER044C	31.2
630126	4932.YDR278C	1.16
632975	4932.YLR105C	5.23
633484	4932.YML091C	21.8
631763	4932.YHR191C	1.46
629664	4932.YDL098C	12.4
633091	4932.YLR202C	1.41
632693	4932.YKR005C	1.25
633690	4932.YMR143W	690
629514	4932.YCR063W	32.6
634097	4932.YNL189W	171
629423	4932.YCL047C	9.03
631012	4932.YGL122C	236
629580	4932.YDL018C	46.3
634214	4932.YNL303W	64.4
635410	4932.YPR160W	71.0
628982	4932.YBL060W	2.38
629065	4932.YBR019C	2.12
632510	4932.YKL056C	1058
632520	4932.YKL065W-A	0.512
631330	4932.YGR160W	1.48
629735	4932.YDL163W	1.45
635009	4932.YPL068C	2.94
632340	4932.YJR057W	30.2
631104	4932.YGL211W	46.3
630782	4932.YFL032W	1.28
633283	4932.YLR377C	14.4
629420	4932.YCL044C	36.9
628864	4932.YAL059W	58.7
633903	4932.YNL007C	561
635092	4932.YPL148C	5.58
632422	4932.YJR137C	113
633557	4932.YMR021C	124
633614	4932.YMR074C	81.9
630237	4932.YDR378C	9.02
632322	4932.YJR039W	1.39
629727	4932.YDL158C	0.047
634234	4932.YNL323W	63.2
630752	4932.YFL009W	1.65
633195	4932.YLR297W	9.86
633174	4932.YLR279W	1.88
630059	4932.YDR216W	9.93
631938	4932.YIL120W	1.39
629076	4932.YBR030W	68.0
633917	4932.YNL021W	33.4
631260	4932.YGR095C	153
629403	4932.YCL027W	2.27
634586	4932.YOR066W	1.81
632021	4932.YIR021W-A	0.94
628832	4932.YAL033W	40.7
629356	4932.YBR284W	1.28
634292	4932.YNR036C	16.1
634305	4932.YNR049C	14.6
630030	4932.YDR192C	1.99
634457	4932.YOL112W	17.1
633506	4932.YML109W	5.15
634423	4932.YOL083W	3.67
634159	4932.YNL251C	210
629338	4932.YBR266C	2.79
628918	4932.YBL004W	32.1
629225	4932.YBR164C	85.1
631634	4932.YHR074W	36.3
630328	4932.YDR464W	3.13
630852	4932.YFR030W	73.0
629190	4932.YBR131W	28.9
632534	4932.YKL078W	11.1
631867	4932.YIL055C	1.29
634994	4932.YPL053C	63.2
633254	4932.YLR351C	84.5
634268	4932.YNR014W	30.7
631839	4932.YIL030C	15.1
632484	4932.YKL032C	40.3
630660	4932.YER125W	29.3
630694	4932.YER152C	18.8
632883	4932.YLR015W	14.1
631678	4932.YHR116W	19.5
635211	4932.YPL259C	47.8
631258	4932.YGR093W	31.7
629601	4932.YDL037C	1.34
633355	4932.YLR442C	18.2
631529	4932.YHL043W	1.31
634905	4932.YOR364W	1.19
634929	4932.YOR386W	9.31
630258	4932.YDR397C	56.4
635452	4932.YPR198W	2.38
631524	4932.YHL038C	18.2
632851	4932.YLL053C	2.07
630287	4932.YDR425W	23.9
634869	4932.YOR331C	1.63
633468	4932.YML076C	11.1
632749	4932.YKR060W	55.2
630591	4932.YER069W	227
633633	4932.YMR091C	50.7
630520	4932.YER012W	221
631660	4932.YHR098C	184
629704	4932.YDL135C	58.5
629544	4932.YCR093W	115
631453	4932.YGR273C	0.257
635348	4932.YPR108W-A	0.292
629118	4932.YBR069C	67.2
633810	4932.YMR251W	1.75
629557	4932.YCR104W	1.22
629869	4932.YDR040C	71.7
635249	4932.YPR012W	1.06
631434	4932.YGR255C	55.4
629615	4932.YDL051W	62.4
629031	4932.YBL102W	15.9
635185	4932.YPL237W	198
632990	4932.YLR120C	46.2
629379	4932.YCL001W-B	1.02
629378	4932.YCL001W-A	1.28
633968	4932.YNL068C	9.66
632222	4932.YJL169W	27.8
628916	4932.YBL002W	4182
629979	4932.YDR146C	7.93
629167	4932.YBR112C	110
629006	4932.YBL081W	1.5
630791	4932.YFL040W	1.2
634237	4932.YNL326C	23.7
630190	4932.YDR337W	80.1
632106	4932.YJL061W	116
635391	4932.YPR147C	35.3
632591	4932.YKL131W	1.3
630303	4932.YDR441C	13.5
635035	4932.YPL094C	197
634963	4932.YPL023C	18.9
630074	4932.YDR231C	18.3
632160	4932.YJL112W	42.6
630817	4932.YFL066C	1.49
634101	4932.YNL193W	2.37
633449	4932.YML058W	288
629250	4932.YBR188C	19.8
630545	4932.YER034W	23.4
632359	4932.YJR076C	115
632620	4932.YKL157W	154
629047	4932.YBR003W	36.2
635369	4932.YPR129W	45.2
629679	4932.YDL113C	10.1
633680	4932.YMR135C	21.6
630894	4932.YGL007W	1.29
634945	4932.YPL005W	16.8
629318	4932.YBR247C	237
633074	4932.YLR185W	567
632264	4932.YJL210W	6.19
633304	4932.YLR398C	81.1
631974	4932.YIL154C	45.3
631916	4932.YIL101C	9.03
632453	4932.YKL004W	56.9
634740	4932.YOR208W	3.72
635099	4932.YPL154C	113
635043	4932.YPL101W	8.17
633151	4932.YLR258W	175
629239	4932.YBR178W	1.23
632381	4932.YJR098C	15.7
631745	4932.YHR176W	1.21
632301	4932.YJR018W	1.29
629784	4932.YDL211C	29.9
629818	4932.YDL244W	1.43
630169	4932.YDR319C	2.35
632551	4932.YKL095W	26.4
634442	4932.YOL099C	1.95
631908	4932.YIL094C	370
633364	4932.YLR451W	3.57
630839	4932.YFR017C	15.0
633244	4932.YLR342W-A	0.134
631891	4932.YIL076W	288
634334	4932.YNR077C	1.21
634382	4932.YOL044W	10.1
633224	4932.YLR323C	11.2
634608	4932.YOR085W	41.4
631218	4932.YGR054W	81.4
634570	4932.YOR050C	8.0
633987	4932.YNL087W	91.9
631281	4932.YGR114C	1.48
633219	4932.YLR318W	1.26
634880	4932.YOR341W	436
633921	4932.YNL024C-A	0.961
630144	4932.YDR296W	58.9
631126	4932.YGL232W	46.7
635330	4932.YPR091C	39.9
631310	4932.YGR141W	6.52
628897	4932.YAR030C	0.955
632445	4932.YJR158W	0.023
631702	4932.YHR137W	119
629249	4932.YBR187W	30.8
633755	4932.YMR198W	3.3
629450	4932.YCR003W	36.1
633885	4932.YMR316C-B	1.17
633884	4932.YMR316C-A	1.15
633713	4932.YMR163C	14.3
631474	4932.YGR294W	1.07
630423	4932.YEL008W	2.41
632867	4932.YLL067C	1.28
629066	4932.YBR020W	3.87
633329	4932.YLR418C	29.9
629944	4932.YDR112W	1.06
630577	4932.YER059W	19.4
635098	4932.YPL153C	61.1
628943	4932.YBL025W	2.13
634405	4932.YOL066C	28.7
629960	4932.YDR126W	1.16
635163	4932.YPL216W	26.6
634755	4932.YOR223W	2.15
630442	4932.YEL022W	91.6
631865	4932.YIL053W	4194
629638	4932.YDL074C	62.2
633376	4932.YLR463C	1.2
632243	4932.YJL190C	766
633775	4932.YMR218C	7.13
634173	4932.YNL265C	56.3
634138	4932.YNL230C	10.0
632847	4932.YLL049W	0.511
631785	4932.YHR211W	0.224
635417	4932.YPR166C	0.532
632085	4932.YJL042W	28.7
634212	4932.YNL301C	3108
630307	4932.YDR445C	1.32
633598	4932.YMR058W	172
629890	4932.YDR061W	33.4
634822	4932.YOR290C	7.52
632574	4932.YKL114C	188
633411	4932.YML024W	1779
633486	4932.YML093W	54.6
631770	4932.YHR197W	165
630124	4932.YDR276C	0.871
633089	4932.YLR200W	34.1
632691	4932.YKR003W	52.6
632977	4932.YLR107W	2.41
633891	4932.YMR321C	34.0
630722	4932.YER175C	22.0
632595	4932.YKL135C	65.7
629755	4932.YDL183C	7.9
635228	4932.YPL278C	1.2
633661	4932.YMR118C	1.21
629426	4932.YCL049C	6.79
628988	4932.YBL066C	3.32
631010	4932.YGL120C	295
631451	4932.YGR271C-A	78.6
630002	4932.YDR169C	19.3
633320	4932.YLR410W-B	2.71
633319	4932.YLR410W-A	3.0
633058	4932.YLR169W	1.27
633832	4932.YMR272C	52.0
635347	4932.YPR108W	696
632508	4932.YKL054C	390
631337	4932.YGR162W	282
629737	4932.YDL165W	26.6
630384	4932.YDR520C	12.9
632475	4932.YKL023W	23.1
632334	4932.YJR051W	12.9
633905	4932.YNL009W	4.75
631242	4932.YGR077C	8.01
632419	4932.YJR135C	11.1
631106	4932.YGL213C	33.5
634688	4932.YOR161W-A	0.23
633617	4932.YMR076C	132
631383	4932.YGR205W	48.9
632320	4932.YJR037W	1.27
633924	4932.YNL027W	28.7
633189	4932.YLR291C	108
630051	4932.YDR210W	119
631940	4932.YIL122W	8.72
629803	4932.YDL230W	27.6
632397	4932.YJR113C	34.9
631182	4932.YGR024C	19.3
632027	4932.YIR026C	129
631978	4932.YIL156W-B	4.34
631977	4932.YIL156W-A	0.091
630575	4932.YER057C	96.8
631262	4932.YGR097W	23.5
631881	4932.YIL068C	24.0
629400	4932.YCL025C	312
634289	4932.YNR034W	47.4
634425	4932.YOL085C	1.14
634191	4932.YNL282W	19.6
629358	4932.YBR286W	716
631035	4932.YGL144C	1.57
630028	4932.YDR190C	220
628829	4932.YAL031C	7.79
628922	4932.YBL006C	2.03
631273	4932.YGR108W	4.61
629336	4932.YBR264C	16.3
629301	4932.YBR231C	17.7
633050	4932.YLR162W-A	0.248
635144	4932.YPL197C	1.15
629227	4932.YBR166C	50.8
630325	4932.YDR462W	68.1
632200	4932.YJL148W	117
631869	4932.YIL057C	48.8
634996	4932.YPL055C	26.0
633256	4932.YLR353W	2.3
631968	4932.YIL148W	397
634270	4932.YNR016C	830
630862	4932.YFR036W	2.41
631676	4932.YHR114W	125
631188	4932.YGR028W	38.5
630692	4932.YER150W	5.58
634188	4932.YNL279W	2.42
629410	4932.YCL034W	9.45
633036	4932.YLR156C-A	0.07
629632	4932.YDL068W	1.32
634364	4932.YOL027C	139
635207	4932.YPL257W	1.24
635063	4932.YPL120W	27.2
634490	4932.YOL145C	157
632147	4932.YJL099W	13.6
629863	4932.YDR034W-B	15.3
634455	4932.YOL110W	9.49
629829	4932.YDR005C	27.8
633878	4932.YMR311C	75.8
631527	4932.YHL041W	1.29
628958	4932.YBL039C	710
631365	4932.YGR188C	5.62
634903	4932.YOR362C	329
632997	4932.YLR126C	48.7
629617	4932.YDL053C	80.3
633466	4932.YML074C	134
632751	4932.YKR062W	21.8
634197	4932.YNL286W	15.0
630518	4932.YER010C	9.06
633386	4932.YML003W	1.99
633639	4932.YMR097C	14.8
629702	4932.YDL133W	134
634241	4932.YNL330C	61.7
631406	4932.YGR228W	0.474
631658	4932.YHR096C	3.91
629052	4932.YBR008C	2.24
629599	4932.YDL035C	5.44
633813	4932.YMR253C	6.34
629555	4932.YCR102C	2.37
632176	4932.YJL127C-B	0.185
634789	4932.YOR257W	4.96
631160	4932.YGR002C	28.5
629871	4932.YDR042C	1.5
631240	4932.YGR075C	29.5
631432	4932.YGR253C	618
630374	4932.YDR510W	140
630430	4932.YEL014C	5.98
630331	4932.YDR467C	1.26
628783	4932.Q0115	0.129
635284	4932.YPR045C	46.6
628782	4932.Q0110	0.005
635179	4932.YPL231W	1167
633020	4932.YLR148W	31.9
633683	4932.YMR137C	4.46
629646	4932.YDL082W	1384
632617	4932.YKL155C	30.1
629223	4932.YBR162W-A	12.7
630794	4932.YFL042C	2.92
629008	4932.YBL083C	1.28
629981	4932.YDR148C	117
635038	4932.YPL096W	49.2
630188	4932.YDR335W	45.2
635384	4932.YPR141C	30.4
632113	4932.YJL067W	1.07
633577	4932.YMR039C	86.5
630195	4932.YDR342C	71.1
630305	4932.YDR443C	4.72
629546	4932.YCR095C	54.7
632809	4932.YLL011W	114
629528	4932.YCR077C	52.6
633348	4932.YLR437C	4.88
630815	4932.YFL064C	1.45
634099	4932.YNL191W	69.8
630080	4932.YDR237W	12.8
632158	4932.YJL110C	5.86
632737	4932.YKR048C	254
629045	4932.YBR001C	24.1
634943	4932.YPL003W	1.35
632568	4932.YKL108W	8.0
632376	4932.YJR094C	1.35
632357	4932.YJR074W	33.0
635367	4932.YPR127W	36.4
629717	4932.YDL148C	24.0
628806	4932.YAL012W	684
633850	4932.YMR288W	9.09
631976	4932.YIL156W	8.23
629312	4932.YBR241C	8.19
631617	4932.YHR063W-A	1.56
632266	4932.YJL212C	31.6
635101	4932.YPL156C	1.39
634223	4932.YNL312W	447
633076	4932.YLR187W	9.76
629931	4932.YDR099W	821
632593	4932.YKL133C	1.83
632653	4932.YKL188C	2.08
631738	4932.YHR170W	234
630103	4932.YDR259C	12.4
630012	4932.YDR177W	110
632523	4932.YKL068W	57.4
631263	4932.YGR098C	2.56
633615	4932.YMR075C-A	0.265
633536	4932.YMR002W	133
633154	4932.YLR261C	1.39
629820	4932.YDL246C	1.36
630607	4932.YER081W	429
635123	4932.YPL178W	77.1
633722	4932.YMR172C-A	1.22
635456	4932.YPR202W	1.28
631910	4932.YIL096C	27.7
634384	4932.YOL046C	16.0
630832	4932.YFR011C	106
631889	4932.YIL074C	84.3
631488	4932.YHL008C	2.87
633226	4932.YLR325C	906
634157	4932.YNL249C	10.0
631220	4932.YGR056W	7.74
630955	4932.YGL065C	37.4
634572	4932.YOR052C	86.7
629056	4932.YBR012C	1.15
631283	4932.YGR116W	185
634882	4932.YOR343C	1.65
631124	4932.YGL230C	1.89
